"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000168481",1.75790518400538,0.532588185556874,1.34881433452947,0.394856558032256,0.692948751948215,0.779534287933196
"ENSG00000062524",10.4774236095686,0.214267867335371,0.543425680096238,0.394291023010589,0.69336619019527,0.779863949029745
"ENSG00000143552",1.84245757822999,-0.557367073554564,1.41374419853075,-0.394248884723143,0.693397297448566,0.779863949029745
"ENSG00000021776",957.130991189207,0.0267016227900561,0.0677285884557949,0.394244489643892,0.693400542006092,0.779863949029745
"ENSG00000115468",8.00927256617622,-0.249097314708922,0.632237347749804,-0.393993356443565,0.693585944157898,0.780012945059069
"ENSG00000138135",1.28252453782281,0.615267720382532,1.56236028907713,0.393806553254094,0.693723865792522,0.780024666310052
"ENSG00000160050",119.000736578067,-0.065237477429623,0.165660729810464,-0.393801702456959,0.693727447396902,0.780024666310052
"ENSG00000177192",246.815045509157,-0.046297420063381,0.117576512068573,-0.393764190218361,0.693755144930938,0.780024666310052
"ENSG00000157992",0.463051799040373,-0.998128050706228,2.53554906952359,-0.393653612427926,0.693836793521436,NA
"ENSG00000158077",0.463051799040373,-0.998128050706228,2.53554906952359,-0.393653612427926,0.693836793521436,NA
"ENSG00000152766",0.463051799040373,-0.998128050706228,2.53554906952359,-0.393653612427926,0.693836793521436,NA
"ENSG00000139055",0.463051799040373,-0.998128050706228,2.53554906952359,-0.393653612427926,0.693836793521436,NA
"ENSG00000139287",0.463051799040373,-0.998128050706228,2.53554906952359,-0.393653612427926,0.693836793521436,NA
"ENSG00000166035",0.463051799040373,-0.998128050706228,2.53554906952359,-0.393653612427926,0.693836793521436,NA
"ENSG00000184361",0.463051799040373,-0.998128050706228,2.53554906952359,-0.393653612427926,0.693836793521436,NA
"ENSG00000166603",0.463051799040373,-0.998128050706228,2.53554906952359,-0.393653612427926,0.693836793521436,NA
"ENSG00000197050",71.5373881849906,-0.0836832447888232,0.212710753432285,-0.393413325083553,0.69401422949388,0.780221977608247
"ENSG00000185009",1282.56337610738,0.0227603915477489,0.057858074350631,0.393383150116897,0.694036512854126,0.780221977608247
"ENSG00000018408",2546.87506554178,0.0217946703521531,0.0554749367220541,0.392874181386648,0.694412411724439,0.780585014414978
"ENSG00000152086",0.953132713895799,-0.77490982504571,1.97631023124642,-0.392099283196539,0.69498485712564,0.781168915826547
"ENSG00000117226",641.701571505197,-0.0306159433639329,0.0781192036084779,-0.391913152588902,0.695122384478552,0.781263913859902
"ENSG00000182379",86.5337933467334,-0.0787834037731828,0.201267268432386,-0.391436741735527,0.69547443849742,0.781599990435792
"ENSG00000124733",784.393545503739,0.029471905281984,0.0753940742700388,0.390904796793771,0.695867608204406,0.781982219574269
"ENSG00000118363",638.584284864736,-0.0307577966432466,0.0787710159444944,-0.390470990813677,0.696188302240243,0.782282951998834
"ENSG00000178235",1.34228459401342,0.587318524669578,1.50523547454314,0.390183818148345,0.696400626484294,0.782461876429483
"ENSG00000106089",155.529939765934,0.0614418112363668,0.157517129751594,0.390064314486056,0.696488989832531,0.782492743428989
"ENSG00000111863",18.957035623776,-0.165461917731599,0.424258000776151,-0.390003058112982,0.696534285591322,0.782492743428989
"ENSG00000238243",3.59300694986145,-0.375504018021815,0.963163218472841,-0.389865404762031,0.696636076711231,0.782547446537357
"ENSG00000162882",1.45375465009368,-0.573750276962322,1.47265756573757,-0.389601961997842,0.696830901104133,0.78270358455495
"ENSG00000140839",1.16659169362423,-0.637337207725573,1.6361536687132,-0.389533831639924,0.696881288948979,0.78270358455495
"ENSG00000153446",5.57227406805517,0.301481231091829,0.775527306878657,0.388743540579159,0.697465870021713,0.783293353056157
"ENSG00000184163",4.52322235705183,0.328034737205597,0.844006620099538,0.388663701674414,0.697524937134859,0.783293353056157
"ENSG00000167608",10.2932755046602,0.214011327325792,0.550712011920103,0.388608424536853,0.697565833821554,0.783293353056157
"ENSG00000016864",934.495648955045,0.0269414456583822,0.0693558451243971,0.388452416808704,0.697681260585221,0.783363280398063
"ENSG00000147465",3.61716101353172,-0.361941978697272,0.932492228620427,-0.388144766882128,0.697908904647853,0.783559186158304
"ENSG00000131174",669.935431034694,0.029308707451651,0.0755257293998492,0.388062554106356,0.697969742194047,0.78356779863314
"ENSG00000172901",3.72861118972142,0.356045367461234,0.919298949325826,0.387300962023662,0.698533413416074,0.784107166712298
"ENSG00000127472",1.21530878850593,-0.683366202100163,1.76465163187298,-0.387252752757124,0.698569099764532,0.784107166712298
"ENSG00000148824",46.8606222201546,-0.101061855496327,0.261042666915424,-0.387146885566682,0.69864746905796,0.784107166712298
"ENSG00000120071",554.70707109986,0.0320578637472248,0.0828099164145446,0.387125903940584,0.698663001307226,0.784107166712298
"ENSG00000279392",6.49016231498754,-0.264819913646612,0.686215037757528,-0.385913888614293,0.699560444292499,0.78501071020758
"ENSG00000133114",377.539387031684,-0.0381523418138074,0.0988672201792544,-0.385894756064083,0.699574614456938,0.78501071020758
"ENSG00000107140",304.328345486395,-0.0417595351725722,0.108250251126911,-0.385768483101383,0.699668138781841,0.785055883469111
"ENSG00000163463",24.4250370182284,0.14274704281832,0.370381228477933,0.3854057167123,0.699936847781321,0.785297599162691
"ENSG00000112053",1.91817042428591,-0.490649644884879,1.2738597273114,-0.385167718521443,0.7001131586595,0.785415803682466
"ENSG00000134762",3.81657148370131,0.365644263166486,0.949598838390434,0.385051295751637,0.700199411424528,0.785415803682466
"ENSG00000163125",729.852216573983,-0.0278406420851301,0.0723043988110202,-0.385047694786819,0.700202079290536,0.785415803682466
"ENSG00000068615",0.851592742228927,-0.755020707460637,1.96139651052516,-0.38494037457958,0.700281591882624,0.785445213178547
"ENSG00000125454",46.994746030356,-0.100305024160889,0.260994275066187,-0.384318867283401,0.700742125710266,0.785901944198912
"ENSG00000157045",530.881105866359,0.0350249280572314,0.0911968371792243,0.3840585829572,0.700935027799887,0.786058472052559
"ENSG00000121716",6.38287969657521,-0.27025534533289,0.703883740082682,-0.383948839763146,0.701016366527587,0.786089873688167
"ENSG00000162600",71.3132363377923,0.0828407572216497,0.215960135433902,0.383592819365519,0.70128026293869,0.786325967376021
"ENSG00000130254",591.886080292932,-0.0301251352453772,0.0785795047880056,-0.383371406152913,0.701444401355409,0.786450177799621
"ENSG00000179148",2.17966824009217,-0.451928800532064,1.1793374326159,-0.383205678064196,0.701567268300014,0.786528099817862
"ENSG00000130731",539.166791292617,-0.0324899007965796,0.0848481956692451,-0.382917993014626,0.701780569822528,0.786707388609144
